id,Kichwa,Español,Etiqueta
625,Kamari, Regalo,neutro 
626,Kamari- Challay, Ofrenda,neutro 
627,Kamay, Cuidar/proteccion,positivo 
628,Kamay paktachi atiy, Poder Judicial,neutro 
629,Kamayku, Evaluación,neutro 
630,Kamaykuchiy, Verificación,positivo 
631,Kamaykuna, Evaluar,neutro 
632,Kamaykurina, Auto evaluar.,neutro  
633,Kamaykurina(W), Auto evaluar,neutro 
634,Kamaykuriy, Auto-evaluación,neutro 
635,Kamaykuy, Evaluación,neutro 
636,Kamaypakta, Mandato,neutro 
637,Kamayuk, Cuidador- facultades de autoridad,neutro 
638,Kamayuk Wasi, Ministerio,positivo 
639,Kamikuy, agravio,neutro 
640,kamu,  libro,positivo 
641,Kamukuska, Biblioteca,positivo 
642,Kamuti, Camote,neutro 
643,Kamuyachik, Imprenta,neutro 
644,Kan, Tú,positivo 
645,Kana, Ser / estar,neutro 
646,Kancha, Afuera,neutro 
647,Kancha shuti, Sustantivo colectivo,neutro 
648,Kanchachani milka, Cuadro estadístico,neutro 
649,Kanchachani shuyu, Gráfico estadístico,neutro 
650,Kanchachanikamay, Estadística,neutro 
651,Kanchaman, Hacia fuera,neutro 
652,Kanchayashka, Convexo,neutro 
653,KANCHIS, siete- 7,neutro 
654,KANCHIS CHUNKA, setenta- 70,neutro 
655,KANCHIS PATSAK, setecientos- 700,neutro 
656,Kankuna / kikinkuna, Ustedes / vosotros,neutro 
657,Kanllayay, Externo,neutro 
658,Kapak, Diciembre,neutro 
659,Kapak apuk, Gobierno,positivo 
660,KAPAK killa, Diciembre,neutro 
661,Kapak llakta, Reino,neutro 
662,Kapak saylla, Meridiano,neutro 
663,Kapak shuyu, Mapa político,neutro 
664,Kapakchi tantanakuy, Organización política,neutro 
665,Kapakchunkana, Ajedréz,positivo 
666,Kapakkamay, Política,neutro 
667,Kapakllakta, Imperio,neutro 
668,Kapakmarka, Imperio- reinado,neutro 
669,Kapaktukukamay, Politica,neutro 
670,Kapasaylla, Meridiano,neutro 
671,Kapisayu, Poncho- alargado y entero Kitukara.,neutro 
672,Kapisayu (Kitukara), Poncho- alargado y entero,neutro 
673,Kapuk- pukushka, Producto,neutro 
674,Kapulli, Capulí,neutro 
675,Kara, Corteza- piel- cáscara,neutro 
676,Karana, dar regalo.,positivo 
677,Karaskruyuwa, Crustáceos,negativo 
678,Kari, Hombre,positivo 
679,kari atallpa, gallo,positivo 
680,Karilla, Gallardo,neutro 
681,Karipurakuyay, Homosexualidad,negativo 
682,Kariwarmikanakamay, Sexualidad,negativo 
683,Karkanka- sakru, Esqueleto,neutro 
684,Karkay, Vertebrado,neutro 
685,Karu, Lejos,positivo 
686,Karuwillay, Telegrama,neutro 
687,Karuyari, Teléfono,positivo 
688,KARUYARIK WASILLI, Cabina Telefonica,neutro 
689,Karwa, Llovizna,neutro 
690,KARWAY killa, Agosto,neutro 
691,Kasha, Espina,neutro 
692,Kashakarayukwa, Equidermos,neutro 
693,Kasi, tranquilo- quieto,positivo 
694,Kasik, Paz,positivo 
695,Kasilla, tranquilidad,positivo 
696,kasku, Pecho,neutro 
697,Kasku tullu, Esternón,neutro 
698,Kaspana, Chamuscar,neutro 
699,Kaspi, Palo- Madera,neutro 
700,Kaspimakana, espada,neutro 
701,Katana- killpana, Cubrir,positivo 
702,Katariy, Levantamiento,neutro 
703,Kati paktachik, Complemento indirecto.,neutro 
704,Katichay, Prosa,neutro 
705,Katichina, Imitar.,neutro 
706,Katik iñu, Punto seguido.,neutro 
707,Katik iñu(W), Punto seguido,neutro 
708,Katik paktachik KP, Complemento indirecto,neutro 
709,Katikmanyaypurachi, Coseno,neutro 
710,Katikmanyaypuramuchi, Secante,neutro 
711,Katikmanyaypuramunchi, Secante,neutro 
712,Katikmanyaypuranchi, Coseno,neutro 
713,Katiknina, Narrar,positivo 
714,Katikunkuy- purikunkuy, Epidemia,neutro 
715,Katina, Seguir,positivo 
716,Katinalla, Modelo,positivo 
717,Katinti yupaykuna, Series numéricas,neutro 
718,Katisuyu rikuchik iñu, Puntos Colaterales,neutro 
719,Katsu, Escarabajo,neutro 
720,katuranti, negocio,neutro 
721,Katuy, vender,neutro 
722,Katuyranti, Feria,neutro 
723,Katuyrantin chani, El valor del intercambio,neutro 
724,Katuyrantin chani, El valor del intercambio,neutro 
725,KAWALLI, lente- gafas,positivo 
726,Kawana, Cantar,positivo 
727,Kaway, Observación.,neutro 
728,Kawchuna, Torcer,negativo 
729,Kawi, Rombo,neutro 
730,Kawikuk, Romboide,neutro 
731,KAWILLI, Camilla,neutro 
732,KAWITU-TIYARINA, Mueble,neutro 
733,Kawpuna, Torcer,neutro 
734,Kawsa marka runa, Nacionalidades.,neutro 
735,Kawsakkuna, Seres,positivo 
736,Kawsana, Vivir,positivo 
737,Kawsay, Cultura- vida,positivo 
738,Kawsay killka, Biografía,neutro 
739,Kawsay killkamachiy, Registro Civil,neutro 
740,Kawsay mallki, Herencia genética,neutro 
741,Kawsaykuk, Célula,neutro 
742,Kawsaykuktantalli, Tejido,neutro 
743,Kawsaymarka, Nacionalidad,neutro 
744,Kawsaypacha, Medio ambiente,neutro 
745,Kawsaypura, Interculturalidad,neutro 
746,Kawsayrikcha, Novela.,positivo 
747,Kawsayrikcha W), Novela,positivo 
748,Kawsayshuktakayariy, Aculturación,neutro 
749,Kawsayta chikipi churashpa, poniéndose en peligro,negativo 
750,Kawsayuk, Célula,neutro 
751,Kay, Aquí,neutro 
752,Kaya, Mañana,positivo 
753,Kayachina, Convocar,neutro 
754,Kayana, Invitar/ llamar,positivo 
755,Kayna, Ayer,positivo 
756,Kaytarikuchi, Estados fìsicos,positivo 
757,Kaytu, Nervio,positivo 
758,khallu, Lengua,neutro 
759,Khari, Masculino,positivo 
760,Khiwa, Hierva,negativo 
761,Khura, Maíz germinado,negativo 
762,Khuyana, Amar,positivo 
763,Khuzu, Larva de escarabajo,negativo 
764,Kichankuy, Cólera,negativo 
765,Kichkikuchu, Ángulo agudo,positivo 
766,Kichkikuchu kimsamanyachi, Triángulo acutángulo,positivo 
767,Kichkikuchu kimsamanyaychi, Triángulo acutángulo,positivo 
768,Kichuy, Arrebatar,negativo 
769,Kichwa llika, Alfabeto Kichwa,positivo 
770,Kikin, Usted,positivo 
771,Kikin shuti, Nombre propio,positivo 
772,Kikinkuyari, Autoestima,positivo 
773,Kikinllatak, Consigo mismo,positivo 
774,Kikinmanta, Atentamente,neutro 
775,Kikinmutsuri, Autoconsumo,negativo 
776,Kikinrimay, Idiolecto,neutro 
777,Kikinruray, Costumbres,positivo 
778,Kikinyari, Identidad,positivo 
779,Kikinyarina, Identificar – apropiar,positivo 
780,Kiliki, Quilico,neutro 
781,Kilkawana, Redactar,positivo 
782,killa, luna,positivo 
783,Killa, Mes,positivo 
784,Killanturi, Eclipse lunar,positivo  
785,Killanturiy, Eclipse lunar,positivo 
786,Killapa nikirakiri, Fases de la luna,neutro 
787,Killimsa rumi, Carbón de Piedra,neutro 
788,Killka kamachik, Regla ortográfica,neutro 
789,Killka katina, Leer,positivo 
790,Killkakatiyuk, Escritor,positivo 
791,Killkana, Escribir,positivo 
792,Killkanancha, Término algebraico,neutro 
793,Killkananchakamay, Álgebra,neutro 
794,Killkananchapurachina, Reducción de términos semejantes,neutro 
795,Killkananchaychi, Expresión algebraica,neutro 
796,Killkapa unancha, Signo de puntuación.,neutro 
797,Killkapa unancha (W), Signo de puntuación,neutro 
798,Killkawana, Redactar.,positivo  
799,KILLKAYA, Carta,positivo 
800,Killkayachay, Tema - teoría,positivo 
801,Killkayrimay, Obra literaria,neutro 
802,Killpa, Capa,neutro 
803,KILLPAK KUSHMA, Sweater- saco,positivo 
804,Killu, Amarillo,neutro 
805,Killu sara, Maíz amarillo,neutro 
806,Kimi killka, Coeficiente o parte literal,neutro 
807,Kimi yupay, Coeficiente numérico,neutro 
808,Kimina, Acercar,positivo 
809,Kiminancha, Coeficiente,positivo 
810,Kimirik, Contigüos.,neutro 
811,Kimirik kuchukuna, Ángulos contiguos o adiacentes,neutro 
812,Kimirishka yuyay, Oración subordinada,neutro 
813,Kimiriy, Acercarse,positivo 
814,Kimpu / kashtuna, Mandíbula- quijada,neutro 
815,Kimraymaya, Hipotenusa,neutro 
816,KIMSA, tres- 3,neutro 
817,KIMSA CHUNKA, treinta- 30,neutro 
818,Kimsa kilkanancha kutinchiy, Factorización de trinomios,neutro 
819,KIMSA PATSAK, trecientos- 300,neutro 
820,Kimsachishka kullka, Prisma triangular,neutro 
821,Kimsachishkapa tawa, Trinomio cuadrado perfecto,neutro 
822,Kimsakamachik, Regla de tres,neutro 
823,Kimsakamachimuk, Regla de tres inversa,neutro 
824,Kimsakamachiyak, Regla de tres simple,neutro 
825,Kimsakilkanancha kutinchiy, Factorización de trinomios,neutro 
826,Kimsamanyachi, Triángulo,neutro 
827,Kimsamanyachikamay, Trigonometría,neutro 
828,Kimsamanyapurachi, Relaciones trigonométricas,neutro 
829,Kimsaniki kallariy yachay, Tercer nivel de Ed. Básica.,neutro 
830,Kimsaniki kallariyachay, Tercer Nivel,neutro 
831,Kimsapaktamanyachi, Triángulo equilátero,neutro 
832,Kincha, corral,neutro 
833,Kinchak, Corchetes.,neutro 
834,kinku, Curva,neutro 
835,kinkuk, Paréntesis.,neutro 
836,Kinraymanya, Hipotenusa,neutro 
837,Kinrayshuyu, Función,neutro 
838,Kinti, Picaflor,neutro 
839,Kinuwa, Quinoa,neutro 
840,Kipapakchiruray, Proyecto,positivo 
841,Kipapakchiruray yachay, Proyecto de aula,neutro 
842,KIPILLI, Paquete,neutro 
843,Kiri, Llaga,neutro 
844,Kirkinchu / kachikampu, Armadillo,neutro 
845,Kiru, Árbol,neutro 
846,Kishparik, Independencia,positivo 
847,Kishpichina, perdonar,positivo 
848,Kishpiripacha, Liberalismo,negativo 
849,Kishuar, Quishuar,neutro 
850,Kita, Brioso,neutro 
851,Kiti, Cantón,positivo 
852,Kiti apuk, Jefe Político,neutro 
853,Kiti kamaklli, Concejal,neutro 
854,Kiti kapachik apuk, Comisario Nacional,neutro 
855,Kitikapak, Capital provincial,neutro 
856,Kitilli, Parroquia,neutro 
857,Kitilli apuk, Teniente Político,neutro 
858,Kucha, Lago,positivo 
859,Kuchaku, Laguna,positivo 
860,Kuchawpi, Bicectriz,neutro 
861,Kuchi, Cerdo,positivo 
862,Kuchulla, Cerca,neutro 
863,Kuchupatay, Grado angular,neutro 
864,Kuku- pukchi, Libra,neutro 
865,kukulli, Paloma,positivo 
866,Kulla, Enero,neutro 
867,KULLA killa, Enero,neutro 
868,Kullasuyu, Región Sur,neutro 
869,Kullka, Prisma,positivo 
870,KULLKA puncha, Jueves,neutro 
871,Kullkikamak wankuri, Asociación bancaria,neutro 
872,Kullkikamak wankuriy, Asociación bancaria,neutro 
873,Kullkikamak wasi, Banco- mutua- copo- corporación- financiera,neutro 
874,Kullkikamay, Economía,positivo 
875,Kullkikamay kamu, Libro contable,positivo 
876,Kullkikamay shinayachi, Conmutabilidad bancaria,neutro 
877,Kullkikamaychik, Sistema contable,neutro 
878,Kullkikikinchik, Póliza,neutro 
879,KULLKILLI, Billetes de denominacion baja- pequeños,positivo 
880,Kullkimantawankuri, Organización económica,positivo 
881,Kullkimashnayachik, Presupuesto,positivo 
882,Kullkiminkay kamu, Libro banco,neutro 
883,KULLKIPATSAKRI, Impuesto,negativo 
884,Kullkirayku hatun tantanakuy, Grandes bloques económico,neutro 
885,Kullkirayku llankay, Actividad Económica,neutro 
886,Kullkiyuk, Capitalista,negativo 
887,Kullku, Tronco,neutro 
888,Kulta, Pato,neutro 
889,Kumuriy, Inclinarse,positivo 
890,Kuna, Dar,positivo 
891,Kunakuy, Ofrecer,positivo 
892,Kunakyuyayku, Refrán,positivo 
893,Kunan, Presente,positivo 
894,Kunan pacha, Tiempo presente,positivo 
895,Kunan yallishka, Participio,negativo 
896,Kunana, Consejo,neutro 
897,Kunanyallishka, Participio.,neutro 
898,Kunka, Garganta- cuello,neutro 
899,Kunka tullu, Nuca,neutro 
900,Kunkaklla, Olvidadiso,positivo 
901,Kunkallina, Bufanda,neutro 
902,Kunkariy, Olvidarse,negativo 
903,Kunkashka, olvidado,negativo 
904,Kunkay, Olvidar,negativo 
905,Kunkaycha, Negligencia- descuido,negativo 
906,Kunkaychashka, Descuidado- negligente,negativo 
907,Kunkaychay, Descuidar,negativo 
908,Kunkaychiy, Omisión- omitir,neutro 
909,Kunkaylla, tranquilo- en reposo,positivo 
910,Kunkuri, Rodilla,neutro 
911,Kunkuriy, arrodillarse,neutro 
912,Kuntisuyu, Occidente,neutro 
913,Kuntur, Condor,neutro 
914,Kunuk, Caliente,neutro 
915,Kunuk allpa, Costa,neutro 
916,Kunuk yaku, Agua termal,neutro 
917,Kunukuy- Killuchakay, Carbohidrato,neutro 
918,Kupa, rastrojo,negativo 
919,Kupa- ñuku, Basura,negativo 
920,Kurikinka, Curiquingue,neutro 
921,Kurpa, Masa amasado,neutro 
922,Kurpa (chanpa), Terrón,neutro 
923,Kurpa- Putuk, Enano,positivo 
924,Kurpañutuchi, Desterronamiento,neutro 
925,Kuru, Gusano,positivo 
926,KURUN ANTA, Motocicleta- moto,positivo 
927,Kururuna, Ovillar,neutro 
928,Kuruta, Testículo,negativo 
929,Kusa, Esposo- marido,neutro 
930,Kusana, Asar,neutro 
931,Kushi, Alegre,positivo 
932,Kushikuy, Emoción,positivo 
933,Kushillu, Mono,neutro 
934,Kushipatak, Sacerdote,neutro 
935,kushiyay, alegria,positivo 
936,Kushkapaktay, Puntualidad,positivo 
937,Kushma, Camisa,neutro 
938,Kushpana, Saltar,neutro 
939,Kushpana- Pawana, Saltar,neutro 
940,Kuska, Parte- sitio- lugar- dirección,positivo 
941,Kuska imallichik, Adverbio del lugar,neutro 
942,Kuskallpayku, Subterráneo,neutro 
943,Kuskayupay chani, Valor relativo,neutro 
944,Kuski, Septiembre- Frondoso- abundancia,positivo 
945,KUSKI killa, Septiembre,neutro 
946,Kuskina- Hamutayana, Analizar,positivo 
947,Kuskunku, Buho,neutro 
948,Kutachik, Molinero,neutro 
949,Kutana, molino,neutro 
950,Kuticharina, Rescatar,positivo 
951,Kutichina, Responder,neutro 
952,Kutichiy, Responder,neutro 
953,Kutin, Vez veces,neutro 
954,Kutinchi, Múltiplo.,neutro 
955,Kutinchichiy, Factorización,neutro 
956,Kutinchik millka, Tabla de frecuencias,neutro 
957,Kutinchiklla, Frecuencia absoluta,neutro 
958,Kutinchina, Repetir.,neutro 
959,Kutinchina(W), Repetir,neutro 
960,Kutinchishka yupaykuna, Números múltiplos,neutro 
961,Kutinchiy, Multiplicación,neutro 
962,Kutinkutinchik, Exponente,neutro 
963,Kutinkutinchiy, Potenciación,neutro 
964,Kutinkutinmuchiy, Radicación,neutro 
965,Kutinkutirik, Base de potencia,neutro  
966,Kutinriksina, Reconocer,positivo 
967,Kutirichiy, Convertirse,neutro 
968,Kutirik, Factor común,neutro 
969,Kutirik taripay, Búsqueda del factor común,neutro 
970,Kutsana, Rasgar.,neutro 
971,Kutsi, Ligero,positivo 
972,Kutsiy, Agilidad,positivo 
973,Kuwartilla - Ukapa, Cuartilla  +/- 60 lb.,neutro 
974,Kuy, Cuy / conejillo de indias,neutro 
975,Kuya, Reina- emperatriz- soberana del incario. Señora- dama,neutro 
976,Kuyak, Acariciador,positivo 
977,Kuyana-, amar,positivo 
978,Kuyashka, Amante,negativo 
979,Kuyaylla, hermosa- linda,positivo 
980,Kuyka, Lombríz,negativo 
981,Kuykakamay, Lombricultura,neutro 
982,Kuyllur, Asterisco.,neutro 
983,Kuytsa, Joven- adolescente mujer,positivo 
984,Kuyurihillanta, Máquina,neutro 
985,Kuyuy, mover,neutro 
986,Lachuri, Hijastro,neutro 
987,Ladera, Shayak allpa,neutro 
988,Lamama, Madrastra,neutro 
989,Lancha, Tizón,neutro 
990,Lapani, Hermanastra,neutro 
991,Laushi, Hijastra,neutro 
992,Lawawki, Hermanastro,neutro 
993,Layaya / latayta, Padrastro,neutro 
994,Llachak, Vegetal,positivo 
995,Llachakamay, Flora,neutro 
996,Llachapashka, Remendado,neutro 
997,Llachapay, Remendar,positivo 
998,Llachapayuk, Remendon,neutro 
999,Llaki, Triste,negativo 
1000,llaki, tristeza,negativo 
1001,Llakichik, Perjuicios,neutro 
1002,Llakichik wallpariykuna, Formas de Explotación,negativo 
1003,Llakichipacha, La Colonia,neutro 
1004,Llakichiy, Explotación,negativo 
1005,Llakilla, Triste,negativo 
1006,Llakitukuy, Desastre,negativo 
1007,Llakta, Pueblo,neutro 
1008,Llakta ushay, Democracia,neutro 
1009,Llaktakay, Pueblos,neutro 
1010,Llaktamanta llukshiri, Migración,negativo 
1011,llaktapak ushay, Democracia,neutro 
1012,Llaktari allpa, Territorio,neutro 
1013,Llaktarimay, Dialecto,neutro 
1014,Llaktay, Pueblo.,neutro 
1015,Llaktayku, Población,neutro 
1016,Llaktushay, Democracia,neutro 
1017,Llakushi, Sentimiento,positivo 
1018,llama, Llama- oveja,positivo 
1019,Llamkaypaktachi, Función rol,neutro 
1020,Llamkaywillay, informe,neutro 
1021,Llamkayñan, Planificación,neutro 
1022,Llampu, Liso,neutro 
1023,Llankahillay, Equipos,neutro 
1024,Llankamana, inutil,negativo 
1025,Llankanauku, Oficina,neutro 
1026,Llankanaukuk, Oficinista,neutro 
1027,Llankayñan, Planificación,positivo 
1028,Llano- campo, Pampa,neutro 
1029,Llantu, Sombra,neutro 
1030,Llanturiy, Eclipse,neutro 
1031,Llapiriy, Presión,neutro 
1032,Llashachik, Balanza,neutro 
1033,Llashak, Masa y peso,neutro 
1034,Llashak tupu, Medida de masa,neutro 
1035,Llatanay, Descubrirse- sacarse la ropa,negativo 
1036,Llawsayachik, Endòcrino,neutro 
1037,Llawsayari, Viscosidad,neutro 
1038,Llawtu, Corona- diadema,positivo 
1039,Llichayuk, Dichoso,neutro 
1040,Llika, Sistema,positivo 
1041,Llika yachay wasikuna, Redes Educativas,neutro 
1042,Llika- wallpa, Estructura,neutro 
1043,Lliwitupu, Radianes,neutro 
1044,Lluki, Izquierdo,neutro 
1045,Lluki maki, Mano izquierda,neutro 
1046,Llullana, Mentir,negativo 
1047,llullu, tierno,neutro 
1048,Llumpak, Limpio,neutro 
1049,Llumpakay, Virginidad,positivo 
1050,Llumpakshunku, Castidad,neutro 
1051,Llushpichiy, Despegar,neutro 
1052,Llutachina, Pegar.,neutro 
1053,Llutariy, Magnetismo,neutro 
1054,Loma, Tula,neutro 
1055,lulun, huevo,neutro 
1056,Lumu, Yuca,positivo 
1057,Lutsay, Proporción- proporcionalidad,neutro 
1058,Lutsaychishpa raki, Reparto proporcional,neutro 
1059,Lutsaykumuk, Proporción armónica o inversa,neutro 
1060,Lutsaykutinchik, Frecuencia relativa,neutro 
1061,Lutsaykuyak, Proporcionalidad inversa,neutro 
1062,Lutsaysapayak, Proporcionalidad directa,neutro 
1063,Machana, Emborrachar,negativo 
1064,Machu, Tuerto,negativo 
1065,Makana, Pegar,negativo 
1066,Makanakuy, Guerra,negativo 
1067,Makanakuy runakuna, Guerreros,neutro 
1068,Makay, golpe- pegar- agravio,negativo 
1069,maki, mano,neutro 
1070,Maki hawa, Palma de la mano,neutro 
1071,Maki ruka, Uña del dedo de la mano,positivo 
1072,Maki washa, Dorso de la mano,positivo 
1073,Maki-watana, Manilla- pulsera,positivo 
1074,Makillina, Guante,neutro 
1075,Makimañachi, Colaboración mutua,positivo 
1076,Makimañachiy, Prestación de mano para el trabajo,neutro 
1077,Makimañashpa, una mano de ayuda,neutro 
1078,Makimañay, Pedir la mano para casarse,positivo 
1079,Makipakchiruray, Artesanía,positivo 
1080,Makirumpay, Voleibol,positivo 
1081,Makirurashka, Manualidad,neutro 
1082,Makiruray, Artesanía,neutro 
1083,Makiruraykamay, Artesanía,neutro
1084,Makiyasiy, Voleibol,positivo 
1085,Maklluy, Peligro,negativo 
1086,Maklluy (GT), Peligro,negativo 
1087,Mallina, Probar- saborear,pobladores 
1088,Mama, Madre- mamá,positivo 
1089,Mama chanka, Muslo,neutro 
1090,Mama chumpi, Faja-madre,positivo 
1091,Mama kullki kamachi, Regla de interés,positivo 
1092,Mamakamachik, Constitución,positivo 
1093,Mamakucha, Océano,positivo 
1094,Mamakullki, Capital,positivo 
1095,Mamallakta, País,positivo 
1096,Mamallakta kallaripa tantanakuy, Asamblea Constituyente,neutro 
1097,Mamallakta kawsay kallari, Vida Republicana,neutro 
1098,Mamallakta Michari, Defensa Nacional.,neutro 
1099,Mamallakta pura kapak kamay, Política Exterior,neutro 
1100,Mamallaktachiy, Estado,neutro 
1101,Mamallaktapa apukwasi, Palacio de Gobierno,positivo 
1102,Mamallaktapa haylli, Himno Nacional,positivo 
1103,Mamallaktapa kapak, Nacionalista,positivo 
1104,Mamallaktapak tantanakuy, Estado,neutro 
1105,Mamallaktapura kullkikulka, Fondo Monetario Internacional FMI,neutro 
1106,Mamayakunta mintalay, Comercio Marítimo,neutro 
1107,Mana alli, Mal- malo,negativo 
1108,Mana rikshka antakuna, Los Ovnis,neutro 
1109,Mana riksishka, Extraño,negativo 
1110,Mana tukurik, Infinito,positivo 
1111,Manahaykapash, Nunca jamas,negativo 
1112,Manapakiyak yupay, Número irracional,negativo 
1113,Manapipash, nadie- ninguno,negativo 
1114,Manarak Turuwan makiruray pacha, Período Precerámico,positivo 
1115,Manashuwak, Honrado,positivo 
1116,Manañakcharishka, Despinado,negativo 
1117,Manchay, temer,neutro 
1118,Manllariy, Asustarse,negativo 
1119,Manllay, Temer- tener miedo,negativo 
